Parks and Recreation:,Parks and Recreation Addresses:,Parks and Recreations Websites:
Azalea Park,"398 Old Lynchburg Rd, Charlottesville, VA 22903",N/A
Bailey Park,"990 Hillcrest Dr, Charlottesville, VA 22902",N/A
Belmont Park,"725 Stonehenge Ave, Charlottesville, VA 22902",N/A
Benjamin Tonsler Park,"500 Cherry Ave, Charlottesville, VA 22903",N/A
Booker T. Washington Park,"1001 Preston Ave, Charlottesville, VA 22903",N/A
Court Square Park,"405 E High St, Charlottesville, VA 22902",N/A
Darden Towe Park,"1445 Darden Towe Park Rd, Charlottesville, VA 22911",N/A
Fifeville Park,"0 Grove St, Charlottesville, VA 22903",N/A
Forest Hills Park,"1022 Forest Hills Ave, Charlottesville, VA 22903",N/A
Greenbrier Park,"1900 Greenbrier Dr, Charlottesville, VA 22901",N/A
Greenleaf Park,"1598 Rose Hill Dr, Charlottesville, VA 22903",N/A
Heyward Community Forest,"1730 Reservoir Rd, Charlottesville, VA 22902",N/A
Jenkins Park,"200 8th St NW, Charlottesville, VA 22903",N/A
Jordan Park,"1607 6th St SE, Charlottesville, VA 22902",N/A
Locust Grove Green,"1101 Holmes Ave, Charlottesville, VA 22901",N/A
Longwood Park,"0 Longwood Dr, Charlottesville, VA 22903",N/A
Maplewood Cemetery,"425 Maple St, Charlottesville, VA 22902",N/A
Market Street Park,"101 E Market St, Charlottesville, VA 22902",N/A
McGuffey Park,"201 2nd St NW, Charlottesville, VA 22902",N/A
McIntire Park,"345 250 Bypass, Charlottesville, VA 22901",N/A
Meade Park,"300 Meade Ave, Charlottesville, VA 22902",N/A
Meadowcreek Gardens,"2030 Morton Dr, Charlottesville, VA 22903",N/A
Northeast Park,"1001 Sheridan Ave, Charlottesville, VA 22901",N/A
Pen Park,"1300 Pen Park Rd, Charlottesville, VA 22901",N/A
Quarry Park,"0 Quarry Rd, Charlottesville, VA 22902",N/A
Riverview Park,"Chesapeake St & Riverside Ave, Charlottesville, VA 22902",N/A
Rives Park,"0 Rives St, Charlottesville, VA 22902",N/A
Starr Hill Park,"0 Starr Hill St, Charlottesville, VA 22903",N/A
Tonsler Park,"500 Cherry Ave, Charlottesville, VA 22903",N/A