Theatres:,Theatre Addresses:,Theatre Websites:
Alamo Drafthouse Cinema,"375 Merchant Walk Sq, Charlottesville, VA 22902",https://www.google.com/aclk?sa=l&ai=CngBuV0m6Z92PLPWznboPm8iEoA2_tauhfYDhuKOuE5i30J71RAgQEAEgk7fxKWDJ_puN7KSkEogBAaAB2oK-zwLIAQGqBF5P0DXiCzBViOxfRjC2msVLhR3cdPLy26yPBe9Dh8ge4qvgMM8f7ysNz0SPtPg0ReLfM6BU75cc2yjstpEH5S1oFNzxw7-gd3BYY776aME1-ve-NEGQSkRLVjKjy5DLwASA3f7DjAWIBerM3I9RoAZmgAe8h_wdiAcBkAcBqAfruLECqAemvhuoB7ytsQKoB7mrsQKoB-i1sQKoB7masQKoB_PRG6gH7tIbqAf_nLECqAfK3BuoB5KvsQKoB7uksQKoB9izsQKoB9imsQKoB8qpsQKoB6K6sQKoB-q6sQKoB5m1sQKoB961sQKoB9uqsQKoB9CqsQKoB-qxsQKoB5S4sQKoB8vJsQKoB-y4sQKoB763sQKoB5bJsQKoB4PDsQKoB5XJsQKoB5bJsQKoB5fJsQKoB9_JsQKoB4nKsQKoB77JsQKoB-W4sQKgCNHppQSwCAHACAHSCC0QAjIEg-CADjoQw_GAgICABILAgMCFoICAAkIBBEjR7PMqUAlYnZf7jKTYiwOxCeNlpkqQfK0juQllWbzdnhDx0vgJAZgLAdALAtoLERCMzveT_wIYASCSgbDKGjANogwMKgoKCOnHsQKwyLECqgwCCAHaDDUKChDQ8Mml2uas5zISAgEDGhgqFmh0dHBzOi8vZHJhZnRob3VzZS5jb21AAUoCAhlSAzc4OegMC5oNAQKqDQJVU7gNAcgNAYIUIQgDEh1jaGFybG90dGVzdmlsbGUgbW92aWUgdGhlYXRlcsgUzMTTr_q3_MRZ0BUBmBYB-BYBgBcBkhcJEgcIARADGK8DuhcEOAFIAcoYAhAk0BgBiBkBqBkBshkCFRw&co=1&gclid=CjwKCAiAiOa9BhBqEiwABCdG89OOCRB834oQkL0UdRufsfPLqfsY8oaLt4DoI_XaVD7IxspVEWyH1RoC06gQAvD_BwE&label=free_ps_website&sig=AOD64_1ur4_ssi5ayQDaCZ-T9N6R9S1rbQ&adurl=https://drafthouse.com/charlottesville/theater/charlottesville?gad_source%3D1&bp=1
Belmont Arts Collaborative,"221 Carlton Rd, Suites 3 &, 4, Charlottesville, VA 22902",http://belmontarts.org/
Charlottesville Opera,"226 E High St, Charlottesville, VA 22902",https://www.charlottesvilleopera.org/
Culbreth Theatre,"109 Culbreth Rd, Charlottesville, VA 22903",http://www.virginia.edu/drama/
DMR Adventures,"221 Carlton Rd Suite 4, Charlottesville, VA 22902",http://www.dmradventures.com/
The Jefferson Theatre,"110 E Main St, Charlottesville, VA 22902",http://www.jeffersontheater.com/
Live Arts,"123 E Water St, Charlottesville, VA 22902",http://livearts.org/
MLK Performing Arts Center,"1400 Melbourne Rd, Charlottesville, VA 22901",https://charlottesvilleschools.org/mlkpac
The Paramount Theater,"215 E Main St, Charlottesville, VA 22902",http://theparamount.net/
Regal Stonefield,"1954 Swanson Dr, Charlottesville, VA 22901",https://www.regmovies.com/theatres/regal-stonefield-1969?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
Ruth Caplin Theatre,"109 Culbreth Rd, Charlottesville, VA 22903",N/A
Ting Pavilion,"700 E Main St, Charlottesville, VA 22902",http://www.tingpavilion.com/
V. Earl Dickinson Theatre,"V. Earl Dickinson Building, 501 College Dr, Charlottesville, VA 22902",https://www.pvcc.edu/fine-arts-and-performance
Violet Crown Charlottesville,"200 W Main St, Charlottesville, VA 22902",http://charlottesville.violetcrown.com/